"species","bottle","filtered","unfiltered"
"DividingChlamydomonas","b_08",11395.3488372093,9974.22680412371
"DividingChlamydomonas","b_09",116971.279373368,112864.583333333
"DividingChlamydomonas","b_10",12435.2331606218,11528.4974093264
"DividingChlamydomonas","b_11",12973.6842105263,9268.92950391645
"DividingChlamydomonas","b_12",14214.6596858639,9632.54593175853
"DividingChlamydomonas","b_13",16801.0752688172,12654.1554959786
"DividingChlamydomonas","b_14",2472.82608695652,2692.30769230769
"DividingChlamydomonas","b_15",13115.1832460733,13507.8534031414
"DividingChlamydomonas","b_16",10213.9037433155,10294.1176470588
"DividingChlamydomonas","b_17",12992.125984252,11443.5695538058
"DividingChlamydomonas","b_18",10288.7139107612,7611.54855643045
"DividingChlamydomonas","b_19",3272.25130890052,2767.62402088773
"DividingChlamydomonas","b_20",2116.40211640212,2084.4327176781
"DividingChlamydomonas","b_21",14818.6528497409,14768.0412371134
"DividingChlamydomonas","b_22",11496.062992126,10524.9343832021
"DividingChlamydomonas","b_23",12853.3333333333,8842.1052631579
"DividingChlamydomonas","b_24",8691.09947643979,7473.68421052632
"DividingChlamydomonas","b_25",1849.86595174263,1640.21164021164
"DividingChlamydomonas","b_26",15633.423180593,13066.6666666667
"DividingChlamydomonas","b_27",10551.1811023622,6833.77308707124
"DividingChlamydomonas","b_28",1920,1910.99476439791
"DividingChlamydomonas","b_29",5979.11227154047,5885.41666666667
"DividingChlamydomonas","b_30",8217.05426356589,11343.669250646
"Monoraphidium","b_05",500369.393139842,557585.30183727
"Monoraphidium","b_07",223118.279569893,218101.604278075
"Monoraphidium","b_13",217284.946236559,218632.707774799
"Monoraphidium","b_14",681005.434782609,699368.131868132
"Monoraphidium","b_16",143796.79144385,141925.13368984
"Monoraphidium","b_19",511884.816753927,531697.127937337
"Monoraphidium","b_20",578756.613756614,616437.994722955
"Monoraphidium","b_24",542068.062827225,575184.210526316
"Monoraphidium","b_25",772707.774798928,784761.904761905
"Monoraphidium","b_26",178463.611859838,179120
"Monoraphidium","b_28",544480,557931.937172775
"Monoraphidium","b_29",531201.044386423,564635.416666667
"Staurastrum1","b_02",6406.25,6223.95833333333
"Staurastrum1","b_03",445.026178010471,287.206266318538
"Staurastrum1","b_06",314.13612565445,287.958115183246
"Staurastrum1","b_09",6240.2088772846,6640.625
"Staurastrum1","b_10",5621.76165803109,5440.41450777202
"Staurastrum1","b_12",392.670157068063,419.94750656168
"Staurastrum1","b_15",392.670157068063,628.272251308901
"Staurastrum1","b_19",628.272251308901,234.986945169713
"Staurastrum1","b_20",714.285714285714,791.55672823219
"Staurastrum1","b_21",6347.15025906736,6494.84536082474
"Staurastrum1","b_28",533.333333333333,418.848167539267
"Staurastrum1","b_29",339.425587467363,416.666666666667
"Staurastrum2","b_05",0,0
"Staurastrum2","b_08",284.237726098191,154.639175257732
"Staurastrum2","b_10",51.8134715025907,25.9067357512953
"Staurastrum2","b_12",26.1780104712042,0
"Staurastrum2","b_15",0,26.1780104712042
"Staurastrum2","b_16",0,0
